,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
0,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3,9,21,13,Parts per million,1.145833,4.2,21,
1,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3,9,21,13,Parts per million,0.878947,2.2,23,25
2,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,2.975,6.6,23,,Parts per million,1.145833,4.2,21,
3,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,2.975,6.6,23,,Parts per million,0.878947,2.2,23,25
4,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-02,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.958333,3,22,4,Parts per million,0.85,1.6,23,
5,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-02,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.958333,3,22,4,Parts per million,1.066667,2.3,0,26
6,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-02,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.9375,2.6,23,,Parts per million,0.85,1.6,23,
7,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-02,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.9375,2.6,23,,Parts per million,1.066667,2.3,0,26
8,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-03,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.25,11,19,16,Parts per million,1.929167,4.4,8,
9,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-03,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.25,11,19,16,Parts per million,1.7625,2.5,8,28
10,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-03,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.2,8.3,20,,Parts per million,1.929167,4.4,8,
11,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-03,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.2,8.3,20,,Parts per million,1.7625,2.5,8,28
53499,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-06,Parts per billion,6.391304,13,8,12,Parts per million,0.066125,0.084,11,122,Parts per billion,3.675,7.3,8,,Parts per million,0,0,0,
53500,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-06,Parts per billion,6.391304,13,8,12,Parts per million,0.066125,0.084,11,122,Parts per billion,3.675,7.3,8,,Parts per million,0,0,0,0
53501,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-07,Parts per billion,8.478261,19,22,18,Parts per million,0.039083,0.049,0,42,Parts per billion,1.208333,3,9,4,Parts per million,0,0,0,
53502,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-07,Parts per billion,8.478261,19,22,18,Parts per million,0.039083,0.049,0,42,Parts per billion,1.208333,3,9,4,Parts per million,0,0,0,0
53503,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-07,Parts per billion,8.478261,19,22,18,Parts per million,0.039083,0.049,0,42,Parts per billion,1.2,2.3,11,,Parts per million,0,0,0,
53504,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-07,Parts per billion,8.478261,19,22,18,Parts per million,0.039083,0.049,0,42,Parts per billion,1.2,2.3,11,,Parts per million,0,0,0,0
53505,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),2001-05-08,Parts per billion,8.695652,17,6,16,Parts per million,0.040333,0.056,11,47,Parts per billion,1,3,9,4,Parts per million,0,0,0,
40077,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-11,Parts per billion,25.565217,37,11,35,Parts per million,0.003417,0.01,12,8,Parts per billion,2.73913,20,9,29,Parts per million,0.708333,1.1,8,13
40078,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-11,Parts per billion,25.565217,37,11,35,Parts per million,0.003417,0.01,12,8,Parts per billion,2.942857,14.3,11,,Parts per million,0.675,1.2,3,
40079,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-11,Parts per billion,25.565217,37,11,35,Parts per million,0.003417,0.01,12,8,Parts per billion,2.942857,14.3,11,,Parts per million,0.708333,1.1,8,13
40080,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-12,Parts per billion,29.478261,41,22,39,Parts per million,0.005,0.015,9,13,Parts per billion,5.434783,41,10,57,Parts per million,0.795833,2.1,19,
40081,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-12,Parts per billion,29.478261,41,22,39,Parts per million,0.005,0.015,9,13,Parts per billion,5.434783,41,10,57,Parts per million,0.7,1.2,23,14
40082,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-12,Parts per billion,29.478261,41,22,39,Parts per million,0.005,0.015,9,13,Parts per billion,5.785714,24.6,11,,Parts per million,0.795833,2.1,19,
40083,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-12,Parts per billion,29.478261,41,22,39,Parts per million,0.005,0.015,9,13,Parts per billion,5.785714,24.6,11,,Parts per million,0.7,1.2,23,14
40084,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-13,Parts per billion,28.521739,44,2,42,Parts per million,0.009833,0.025,9,21,Parts per billion,2.521739,22,7,31,Parts per million,0.520833,1.6,21,
40085,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-13,Parts per billion,28.521739,44,2,42,Parts per million,0.009833,0.025,9,21,Parts per billion,2.521739,22,7,31,Parts per million,0.583333,1.3,1,15
40086,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-13,Parts per billion,28.521739,44,2,42,Parts per million,0.009833,0.025,9,21,Parts per billion,2.657143,14.3,8,,Parts per million,0.520833,1.6,21,
40087,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2003-01-13,Parts per billion,28.521739,44,2,42,Parts per million,0.009833,0.025,9,21,Parts per billion,2.657143,14.3,8,,Parts per million,0.583333,1.3,1,15
33587,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-20,Parts per billion,0.130435,1,0,1,Parts per million,0.045667,0.049,12,42,Parts per billion,0,0,5,,Parts per million,0.095652,0.1,0,
33588,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-20,Parts per billion,0.130435,1,0,1,Parts per million,0.045667,0.049,12,42,Parts per billion,0,0,5,,Parts per million,0.1,0.1,0,1
33589,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-21,Parts per billion,0,0,0,0,Parts per million,0.042917,0.046,0,39,Parts per billion,0.086957,1,2,1,Parts per million,0.004348,0.1,0,
33590,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-21,Parts per billion,0,0,0,0,Parts per million,0.042917,0.046,0,39,Parts per billion,0.086957,1,2,1,Parts per million,0.020833,0.1,0,1
33591,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-21,Parts per billion,0,0,0,0,Parts per million,0.042917,0.046,0,39,Parts per billion,0.042857,0.3,17,,Parts per million,0.004348,0.1,0,
33592,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-21,Parts per billion,0,0,0,0,Parts per million,0.042917,0.046,0,39,Parts per billion,0.042857,0.3,17,,Parts per million,0.020833,0.1,0,1
33593,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-22,Parts per billion,0.73913,1,7,1,Parts per million,0.034042,0.038,8,32,Parts per billion,0.217391,1,2,1,Parts per million,0,0,0,
33594,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2004-06-22,Parts per billion,0.73913,1,7,1,Parts per million,0.034042,0.038,8,32,Parts per billion,0.217391,1,2,1,Parts per million,0,0,0,0
75363,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-04,Parts per billion,17.208333,32,2,30,Parts per million,0.020125,0.042,11,36,Parts per billion,8.9875,11,8,,Parts per million,0.3375,0.6,22,
75364,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-04,Parts per billion,17.208333,32,2,30,Parts per million,0.020125,0.042,11,36,Parts per billion,8.9875,11,8,,Parts per million,0.345833,0.4,0,5
75365,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-05,Parts per billion,12.875,27,7,25,Parts per million,0.028125,0.047,10,40,Parts per billion,7,11,7,16,Parts per million,0.325,0.7,4,
75366,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-05,Parts per billion,12.875,27,7,25,Parts per million,0.028125,0.047,10,40,Parts per billion,7,11,7,16,Parts per million,0.3625,0.6,6,7
75367,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-05,Parts per billion,12.875,27,7,25,Parts per million,0.028125,0.047,10,40,Parts per billion,6.9625,9.6,8,,Parts per million,0.325,0.7,4,
75368,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-05,Parts per billion,12.875,27,7,25,Parts per million,0.028125,0.047,10,40,Parts per billion,6.9625,9.6,8,,Parts per million,0.3625,0.6,6,7
75369,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-06,Parts per billion,19.333333,37,22,35,Parts per million,0.02375,0.043,11,36,Parts per billion,6.416667,9,7,13,Parts per million,0.2625,0.5,6,
75370,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-06,Parts per billion,19.333333,37,22,35,Parts per million,0.02375,0.043,11,36,Parts per billion,6.416667,9,7,13,Parts per million,0.254167,0.3,5,3
75371,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-06,Parts per billion,19.333333,37,22,35,Parts per million,0.02375,0.043,11,36,Parts per billion,6.375,8.6,8,,Parts per million,0.2625,0.5,6,
75372,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-06,Parts per billion,19.333333,37,22,35,Parts per million,0.02375,0.043,11,36,Parts per billion,6.375,8.6,8,,Parts per million,0.254167,0.3,5,3
75373,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-07,Parts per billion,10.375,32,0,30,Parts per million,0.042458,0.058,10,49,Parts per billion,7.708333,13,3,19,Parts per million,0.220833,0.5,0,
75374,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,2005-05-07,Parts per billion,10.375,32,0,30,Parts per million,0.042458,0.058,10,49,Parts per billion,7.708333,13,3,19,Parts per million,0.241667,0.3,0,3
